product_id,stock
1,4995
2,455
3,1435
4,363
5,1845
6,1060
7,955
8,233
9,132
10,484
11,13411
12,3153
13,261
14,2478
15,4817
16,2299
17,3377
18,502
19,3139
20,3699
21,788
22,5051
23,505
24,466
25,3530
26,850
27,4208
28,3197
29,916
30,6783
31,2010
32,2444
33,5550
34,1491
35,694
36,1499
37,5462
38,7312
39,186
40,3540
41,1900
42,243
43,1518
44,138
45,395
46,4857
47,3020
48,1140
49,983
50,4148
51,1955
52,4769
53,1314
54,779
55,415
56,2286
57,1568
58,1400
59,1398
60,2933
61,538
62,1048
63,1183
64,4349
65,495
66,3319
67,1015
68,2915
69,2760
70,93
71,368
72,6446
73,5632
74,484
75,3493
76,3290
77,51
78,9497
79,842
80,2339
81,691
82,2997
83,2427
84,236
85,605
86,505
87,4727
88,670
89,1388
90,552
91,16400
92,927
93,1553
94,1977
95,4257
96,1883
97,1498
98,423
99,8173
100,967
101,12643
102,2708
103,433
104,393
105,471
106,875
107,243
108,4516
109,1121
110,815
111,52
112,955
113,434
114,2266
115,2818
116,610
117,1997
118,11158
119,1726
120,8402
121,511
122,1430
123,3299
124,2444
125,4886
126,2898
127,596
128,1319
129,1162
130,1045
131,142
132,12350
133,498
134,15921
135,637
136,1324
137,700
138,11270
139,4575
140,5382
141,1132
142,496
143,193
144,1071
145,3364
146,772
147,2231
148,14330
149,1483
150,636
151,1402
152,5014
153,6563
154,4201
155,173
156,942
157,5947
158,453
159,1713
160,897
161,2727
162,9447
163,492
164,694
165,1406
166,216
167,433
168,740
169,3881
170,117
171,3751
172,1370
173,12452
174,2888
175,1739
176,6787
177,2727
178,1382
179,191
180,5832
181,4720
182,7706
183,335
184,558
185,2617
186,2122
187,2531
188,9927
189,910
190,2504
191,2973
192,372
193,526
194,322
195,164
196,11051
197,99
198,1643
199,644
200,845
201,3610
202,3774
203,670
204,255
205,3229
206,3411
207,16926
208,982
209,2511
210,963
211,309
212,4785
213,2207
214,296
215,12021
216,414
217,507
218,841
219,3243
220,2316
221,936
222,9232
223,3557
224,5060
225,6940
226,10627
227,1178
228,3898
229,114
230,1986
231,6180
232,784
233,1949
234,4434
235,929
236,2011
237,4239
238,771
239,3282
240,5706
241,883
242,4944
243,1956
244,314
245,1727
246,1921
247,7174
248,1015
249,503
250,524
251,6110
252,3579
253,2437
254,436
255,8455
256,851
257,1837
258,1434
259,4121
260,5360
261,680
262,617
263,10355
264,3607
265,938
266,189
267,849
268,7930
269,5949
270,502
271,1595
272,213
273,1363
274,206
275,526
276,5924
277,507
278,1684
279,2010
280,2262
281,797
282,3619
283,488
284,3441
285,1022
286,8556
287,221
288,2360
289,6575
290,3226
291,1917
292,2526
293,218
294,815
295,766
296,1548
297,1524
298,3456
299,784
300,5331
301,7976
302,3182
303,864
304,1060
305,654
306,1356
307,505
308,3708
309,496
310,2328
311,12949
312,224
313,2067
314,475
315,2374
316,1629
317,483
318,3051
319,4830
320,2533
321,8626
322,1020
323,445
324,379
325,203
326,1288
327,3119
328,268
329,1789
330,514
331,845
332,5308
333,3563
334,12238
335,6125
336,3081
337,209
338,1151
339,1997
340,2201
341,851
342,1245
343,3138
344,1465
345,439
346,2469
347,317
348,1131
349,1899
350,2766
351,3599
352,4492
353,596
354,2186
355,1041
356,368
357,897
358,3345
359,2446
360,4767
361,1997
362,2379
363,5077
364,1010
365,196
366,10298
367,289
368,3340
369,1891
370,848
371,748
372,3946
373,1545
374,1791
375,2135
376,15910
377,1613
378,805
379,4910
380,932
381,5409
382,2868
383,481
384,1798
385,886
386,301
387,4248
388,3125
389,2399
390,1788
391,199
392,289
393,401
394,619
395,5968
396,1287
397,734
398,3311
399,1004
400,1488
401,17423
402,989
403,2931
404,1706
405,1618
406,270
407,970
408,300
409,246
410,1086
411,449
412,561
413,1651
414,61
415,127
416,2324
417,1449
418,1159
419,2068
420,1176
421,1220
422,334
423,668
424,708
425,8806
426,999
427,802
428,2795
429,839
430,1219
431,204
432,2593
433,922
434,1536
435,3201
436,1494
437,9151
438,2234
439,245
440,3602
441,7757
442,4149
443,1121
444,5093
445,60
446,1137
447,110
448,2941
449,415
450,9676
451,2947
452,458
