product_id,mean_sales,std_dev,coeff_variation,autocorr_lag1,seasonal_strength,peakiness_norm,spike_fraction,zero_fraction,trend_slope,r_square,entropy_norm
1,3290.8888888888887,598.0,0.1817138226754001,0.6005930576206714,0.9535026383747655,0.072590991964346,0.05555555555555555,0.0,-25.589267285861713,0.05211249251230842,0.9944420630323101
2,1503.2777777777778,253.0,0.16829890239846262,0.5753306048179856,0.9999957928631816,0.07136257807014303,0.05555555555555555,0.0,-14.849329205366356,0.09832815205405804,0.9952946581664369
3,3188.8333333333335,542.0,0.16996811791146185,0.6179677295527898,0.9598671652432113,0.07068067387933588,0.1111111111111111,0.0,-23.402476780185758,0.05311702293952277,0.9952144224089127
4,141.83333333333334,71.0,0.5005875440658049,0.033247184168702475,0.6843664390377475,0.10340775558166862,0.05555555555555555,0.0,-5.1382868937048505,0.14869563706390734,0.9547548377497888
5,3658.722222222222,510.0,0.13939292709962495,0.46408034286888256,0.8335424764788713,0.07030384013848186,0.1111111111111111,0.0,-16.583075335397318,0.030104961088933065,0.9968276419097385
6,270.94444444444446,121.0,0.44658601599343856,0.008279062077383409,1.0,0.1047775271683412,0.058823529411764705,0.05555555555555555,-6.931372549019607,0.08068767310716524,0.9422604517156852
7,287.6666666666667,145.0,0.5040556199304751,-0.0023853126346434525,1.0,0.10795674005407493,0.1111111111111111,0.0,6.359133126934985,0.05497423964513066,0.9565307949462886
8,1509.8333333333333,255.0,0.168892813776355,0.6031034775098822,0.9899922415493685,0.07005924127019171,0.1111111111111111,0.0,-13.458204334365327,0.07947438160107513,0.995232324491401
9,134.11111111111111,64.0,0.4772162386081193,-0.011100039199583219,0.44376970840200647,0.10314830157415078,0.1111111111111111,0.0,-1.1640866873065017,0.00952760134792644,0.9605041886817571
10,3228.6666666666665,594.0,0.18397687383852984,0.47171498811085605,0.9961084825823028,0.07405877899373667,0.1111111111111111,0.0,-24.80701754385965,0.04967199332337676,0.99434917407407
11,3550.0,3487.0,0.9822535211267606,0.45518305250651586,0.24495393635887464,0.2252582159624413,0.1111111111111111,0.0,-411.8493292053664,0.39752045603316133,0.8826056788199976
12,843.1666666666666,870.0,1.0318244712393754,-0.21087910698328044,0.695458506630682,0.22257363115240167,0.1111111111111111,0.0,40.364293085655305,0.061362252604565605,0.8719005849346105
13,58.611111111111114,40.0,0.6824644549763033,0.04984695501009576,0.6160747389788137,0.18862559241706162,0.0625,0.1111111111111111,-3.2573529411764706,0.13504761063259857,0.9049728604660469
